,Unnamed: 0,id,name,location,sampling_rate,lfp_sampling_rate,has_lfp_data,session,inserted
248,248,374,probeE,See electrode locations,30000.05105629236,,False,1214740195,True
249,249,375,probeF,See electrode locations,30000.0990123924,,False,1214740195,True
250,250,307,probeA,See electrode locations,30000.10568651505,,False,1202438738,True
251,251,308,probeB,See electrode locations,29999.92971674816,,False,1202438738,True
252,252,309,probeC,See electrode locations,30000.195091715217,,False,1202438738,True
253,253,310,probeD,See electrode locations,30000.08445651768,,False,1202438738,True
254,254,311,probeE,See electrode locations,30000.053957084845,,False,1202438738,True
255,255,312,probeF,See electrode locations,30000.10463996588,,False,1202438738,True
256,256,526,probeA,See electrode locations,30000.12158305013,,False,1234410451,True
257,257,527,probeB,See electrode locations,29999.944380303485,,False,1234410451,True
258,258,528,probeC,See electrode locations,30000.2445266764,,False,1234410451,True
260,260,530,probeE,See electrode locations,30000.07174990029,,False,1234410451,True
261,261,531,probeF,See electrode locations,30000.117157079585,,False,1234410451,True
262,262,271,probeA,See electrode locations,30000.104923410072,,False,1208664393,True
263,263,272,probeB,See electrode locations,29999.928538899818,,False,1208664393,True
264,264,273,probeC,See electrode locations,30000.190578311744,,False,1208664393,True
265,265,274,probeD,See electrode locations,30000.082164118423,,False,1208664393,True
267,267,276,probeF,See electrode locations,30000.10123271413,,False,1208664393,True
268,268,472,probeA,See electrode locations,30000.109452745102,,False,1230962048,True
269,269,473,probeB,See electrode locations,29999.929954833035,,False,1230962048,True
270,270,474,probeC,See electrode locations,30000.23059334513,,False,1230962048,True
271,271,475,probeD,See electrode locations,30000.09027351615,,False,1230962048,True
272,272,476,probeE,See electrode locations,30000.05765243441,,False,1230962048,True
273,273,477,probeF,See electrode locations,30000.104698919127,,False,1230962048,True
274,274,621,probeA,See electrode locations,30000.105611889587,,False,1224385827,True
278,278,625,probeE,See electrode locations,30000.055524503576,,False,1224385827,True
279,279,626,probeF,See electrode locations,30000.10627093414,,False,1224385827,True
280,280,460,probeA,See electrode locations,30000.111806206274,,False,1228018071,True
281,281,461,probeB,See electrode locations,29999.93340405932,,False,1228018071,True
282,282,462,probeC,See electrode locations,30000.2323970246,,False,1228018071,True
283,283,463,probeD,See electrode locations,30000.093062689568,,False,1228018071,True
284,284,464,probeE,See electrode locations,30000.060543817213,,False,1228018071,True
285,285,465,probeF,See electrode locations,30000.107741347223,,False,1228018071,True
287,287,30,probeB,See electrode locations,29999.946691300487,,False,1178173272,True
288,288,31,probeC,See electrode locations,30000.217988648867,,False,1178173272,True
289,289,32,probeD,See electrode locations,30000.103896229248,,False,1178173272,True
290,290,33,probeE,See electrode locations,30000.06881608873,,False,1178173272,True
291,291,34,probeF,See electrode locations,30000.123403410184,,False,1178173272,True
292,292,496,probeA,See electrode locations,30000.11155850129,,False,1229654875,True
293,293,497,probeB,See electrode locations,29999.932967040888,,False,1229654875,True
295,295,499,probeD,See electrode locations,30000.094270195536,,False,1229654875,True
296,296,500,probeE,See electrode locations,30000.06067216737,,False,1229654875,True
297,297,501,probeF,See electrode locations,30000.107807265136,,False,1229654875,True
298,298,53,probeA,See electrode locations,30000.12686198382,,False,1174790219,True
299,299,54,probeB,See electrode locations,29999.94490462236,,False,1174790219,True
300,300,55,probeC,See electrode locations,30000.21931599452,,False,1174790219,True
301,301,56,probeD,See electrode locations,30000.10505988556,,False,1174790219,True
302,302,57,probeE,See electrode locations,30000.07030766877,,False,1174790219,True
303,303,58,probeF,See electrode locations,30000.119485334028,,False,1174790219,True
304,304,615,probeA,See electrode locations,30000.10234373417,,False,1209073822,True
305,305,618,probeB,See electrode locations,29999.927218663142,,False,1209073822,True
306,306,617,probeC,See electrode locations,30000.187496291644,,False,1209073822,True
308,308,620,probeE,See electrode locations,30000.05028820847,,False,1209073822,True
309,309,619,probeF,See electrode locations,30000.09929109532,,False,1209073822,True
310,310,490,probeA,See electrode locations,30000.106914126685,,False,1229429400,True
311,311,491,probeB,See electrode locations,29999.92765296189,,False,1229429400,True
312,312,492,probeC,See electrode locations,30000.22999141538,,False,1229429400,True
314,314,494,probeE,See electrode locations,30000.05633216199,,False,1229429400,True
315,315,495,probeF,See electrode locations,30000.103124598387,,False,1229429400,True
316,316,223,probeA,See electrode locations,30000.1203637347,,False,1194411467,True
317,317,225,probeB,See electrode locations,29999.944030623567,,False,1194411467,True
318,318,227,probeC,See electrode locations,30000.21228716072,,False,1194411467,True
319,319,224,probeD,See electrode locations,30000.101819182662,,False,1194411467,True
320,320,226,probeE,See electrode locations,30000.067287947848,,False,1194411467,True
321,321,228,probeF,See electrode locations,30000.1174861318,,False,1194411467,True
322,322,0,probeA,See electrode locations,30000.127169110423,,False,1182427414,True
323,323,1,probeB,See electrode locations,29999.949142292207,,False,1182427414,True
324,324,2,probeC,See electrode locations,30000.2197430559,,False,1182427414,True
325,325,3,probeD,See electrode locations,30000.10646831761,,False,1182427414,True
326,326,4,probeE,See electrode locations,30000.07053174128,,False,1182427414,True
327,327,5,probeF,See electrode locations,30000.12236652649,,False,1182427414,True
328,328,247,probeA,See electrode locations,30000.102015536024,,False,1198995158,True
329,329,250,probeB,See electrode locations,29999.925692387344,,False,1198995158,True
330,330,251,probeC,See electrode locations,30000.18904683378,,False,1198995158,True
331,331,252,probeD,See electrode locations,30000.08037881265,,False,1198995158,True
332,332,248,probeE,See electrode locations,30000.049699876527,,False,1198995158,True
333,333,249,probeF,See electrode locations,30000.099754982843,,False,1198995158,True
334,334,364,probeA,See electrode locations,30000.114842063624,,False,1214566710,True
335,335,365,probeB,See electrode locations,29999.93843385733,,False,1214566710,True
336,336,366,probeC,See electrode locations,30000.20577744138,,False,1214566710,True
337,337,367,probeD,See electrode locations,30000.096526457502,,False,1214566710,True
338,338,368,probeE,See electrode locations,30000.06824973228,,False,1214566710,True
339,339,369,probeF,See electrode locations,30000.114842063624,,False,1214566710,True
340,340,193,probeA,See electrode locations,30000.124844822745,,False,1191631184,True
341,341,194,probeB,See electrode locations,29999.94868638817,,False,1191631184,True
342,342,195,probeC,See electrode locations,30000.218656051424,,False,1191631184,True
343,343,196,probeD,See electrode locations,30000.108052451345,,False,1191631184,True
344,344,197,probeE,See electrode locations,30000.071722801684,,False,1191631184,True
345,345,198,probeF,See electrode locations,30000.122745776323,,False,1191631184,True
